Quarter,Total-Assets,Shareholder-Equity,Total-Liabilities(w/equity),Just-Liabilities,Operating-Expenses,Net gain/loss,Cash(beginning-of-period),Cash(end-of-period),Change,Total-debt,Net-product-sales,Net-service-sales,Net-sales,North-America-Income,International-Income,AWS-Income,EPS,EPS-Surprise
Q2-2015,52440,11768,52440,40672,22721,92,10237,10269,32,8.25,17104,6081,23185,703,-19,391,0.19,0.33
Q3-2015,56230,12430,56230,43800,24952,79,10269,10709,440,8.243,18463,6895,25358,528,-56,521,0.17,0.3
Q4-2015,65444,13384,65444,52060,34639,428,10709,15890,5181,8.227,26618,9129,35747,1003,60,687,1,-0.56
Q1-2016,61128,14756,61128,46372,28057,513,15890,12470,-3420,8.219,20581,8547,29128,588,-121,604,1.07,0.49
Q2-2016,65076,16538,65076,48538,29119,857,12470,12521,51,8.212,21116,9288,30404,702,-135,718,1.78,0.67
Q3-2016,70897,17782,70897,53115,32139,252,12521,13656,1135,8.205,22339,10375,32714,255,-541,861,0.52,-0.26
Q4-2016,83402,19285,83402,64117,42486,749,13656,19334,5678,7.694,30629,13112,43741,816,-108,580,1.54,0.19
Q1-2017,80969,21674,80969,59295,34709,724,19934,15440,-4494,7.691,23734,11980,35714,596,-481,890,1.48,0.35
Q2-2017,87781,23214,87781,64567,37327,197,15440,13203,-2237,7.683,24745,13210,37955,436,-724,916,0.4,-1.02
Q3-2017,115267,24658,115267,90609,43397,256,13203,12767,-436,24.71,28768,14976,43744,112,-936,1171,0.52,0.49
Q4-2017,131310,27709,131310,103601,58326,1856,13960,21856,7896,24.743,41325,19128,60453,1692,-919,1354,3.75,1.9
Q1-2018,126362,31463,126362,94899,49115,1629,21856,17616,-4240,24.64,31605,19437,51042,1149,-622,1400,3.27,2
Q2-2018,134100,34995,134100,99105,49903,2534,17616,20536,2920,24.638,31864,21022,52886,1835,-494,1642,5.07,2.57
Q3-2018,143695,39125,143695,104570,52852,2883,20536,21032,496,24.684,33746,22830,56576,2032,-385,2077,5.75,2.61
