Quarter,Total-Assets,Shareholder-Equity,Total-Liabilities(w/equity),Just-Liabilities,Revenues,Cost-of-Revenues,Gross-Profit,Operating-Expenses,Net gain/loss,Cash(beginning-of-period),Cash(end-of-period),Change,Total-debt,EPS,EPS-Surprise
Q2-2015,236880,199551,236880,37329,44926,19674,25252,28713,-3296,41953,146668,104715,0,-0.03,0.06
Q3-2015,235639,197306,235639,38333,52786,24043,28743,33043,-4657,41953,115315,73362,0,-0.03,0.03
Q4-2015,243712,195317,243712,48395,70173,34663,35510,42029,-6307,41953,110070,68117,0,-0.01,0.04
Q1-2016,245274,190977,245274,54297,72722,33451,39271,48983,-8929,110070,83864,-26206,0,-0.06,0.03
Q2-2016,251109,188751,251109,62358,86647,40481,46166,54825,-8439,110070,68140,-41930,0,-0.04,0.04
Q3-2016,486343,411522,486343,74821,99578,47123,52455,61944,-9120,110070,187360,77290,0,-0.02,0.01
Q4-2016,490558,410476,490558,80082,130383,62248,68135,77440,-8867,110070,-26057,84013,0,0,0.02
Q1-2017,501338,410864,501338,90474,127379,55138,72241,86702,-13598,84013,101268,17255,0,-0.04,0.06
Q2-2017,1077233,977444,1077233,99789,151655,64815,86840,102747,-14030,84013,199397,115384,0,-0.01,0.06
Q3-2017,1101408,987922,1101408,113486,171456,71429,100027,112703,-9380,84013,119849,35836,0,0.05,0.06
Q4-2017,1113564,1001100,1113564,112464,222814,101669,121145,127258,-2987,84013,141677,57664,0,0.15,0.1
Q1-2018,1782536,1649889,1782536,132647,214340,90498,123842,144175,-15902,141677,196578,54901,0,0.04,0.09
Q2-2018,1809057,1656201,1809057,152856,244963,108008,136955,167716,-23953,141677,219801,78124,0,0.02,0.05
Q3-2018,1841694,1672078,1841694,169616,270064,120337,149727,181095,-23184,141677,243421,101744,0,0.04,0.06
